iter	Passed	Remaining
0	143	143499
1	145	72570
2	147	48963
3	149	37146
4	151	30123
5	153	25407
6	155	22038
7	157	19535
8	159	17590
9	161	16020
10	163	14717
11	165	13604
12	166	12672
13	168	11856
14	169	11138
15	170	10501
16	172	9955
17	173	9458
18	174	9010
19	175	8603
20	176	8236
21	177	7901
22	178	7600
23	180	7321
24	180	7056
25	181	6808
26	182	6580
27	183	6369
28	184	6175
29	185	5990
30	186	5821
31	187	5657
32	187	5503
33	188	5357
34	189	5220
35	190	5088
36	190	4965
37	191	4848
38	192	4737
39	192	4629
40	193	4527
41	194	4430
42	194	4337
43	195	4249
44	196	4163
45	196	4082
46	197	4004
47	198	3929
48	198	3855
49	199	3785
50	199	3719
51	200	3655
52	201	3594
53	201	3534
54	202	3477
55	202	3421
56	203	3367
57	204	3316
58	204	3268
59	205	3222
60	206	3176
61	206	3131
62	207	3087
63	208	3045
64	208	3004
65	209	2967
66	210	2928
67	210	2890
68	211	2854
69	212	2818
70	212	2783
71	213	2749
72	214	2718
73	214	2686
74	215	2655
75	215	2625
76	216	2595
77	217	2567
78	217	2539
79	218	2511
80	219	2485
81	219	2458
82	219	2430
83	220	2406
84	221	2382
85	222	2359
86	223	2340
87	224	2324
88	225	2303
89	225	2281
90	226	2261
91	227	2241
92	227	2220
93	228	2201
94	229	2183
95	230	2170
96	231	2156
97	232	2142
98	233	2124
99	234	2108
100	235	2092
101	236	2078
102	236	2061
103	237	2045
104	238	2029
105	238	2014
106	239	1999
107	240	1985
108	241	1973
109	242	1958
110	242	1944
111	243	1929
112	243	1914
113	244	1901
114	245	1889
115	246	1877
116	246	1863
117	247	1850
118	248	1838
119	249	1828
120	250	1816
121	250	1806
122	251	1795
123	252	1784
124	253	1772
125	254	1761
126	254	1749
127	255	1738
128	255	1727
129	256	1716
130	257	1705
131	257	1694
132	258	1683
133	258	1673
134	259	1663
135	260	1653
136	260	1643
137	262	1636
138	262	1628
139	263	1618
140	264	1609
141	264	1599
142	265	1590
143	266	1581
144	266	1573
145	267	1564
146	268	1555
147	269	1549
148	270	1542
149	270	1534
150	271	1526
151	272	1517
152	272	1509
153	273	1501
154	273	1493
155	274	1485
156	275	1477
157	275	1470
158	276	1464
159	277	1458
160	278	1449
161	278	1442
162	279	1434
163	280	1427
164	280	1421
165	281	1414
166	282	1408
167	282	1401
168	283	1394
169	284	1387
170	285	1382
171	286	1377
172	286	1370
173	287	1364
174	288	1358
175	288	1351
176	289	1345
177	290	1339
178	290	1333
179	291	1327
180	292	1321
181	292	1315
182	293	1309
183	293	1303
184	294	1297
185	295	1291
186	295	1286
187	296	1280
188	297	1276
189	298	1271
190	298	1266
191	299	1261
192	300	1256
193	301	1251
194	301	1245
195	302	1240
196	302	1234
197	303	1229
198	304	1224
199	304	1219
200	305	1214
201	306	1209
202	306	1204
203	307	1200
204	308	1195
205	308	1190
206	309	1185
207	310	1181
208	310	1176
209	311	1172
210	312	1168
211	313	1163
212	316	1168
213	317	1164
214	317	1159
215	318	1155
216	318	1150
217	319	1146
218	320	1141
219	320	1137
220	321	1132
221	322	1129
222	322	1124
223	323	1121
224	324	1117
225	325	1113
226	325	1108
227	326	1105
228	327	1101
229	328	1098
230	328	1095
231	329	1090
232	330	1088
233	331	1085
234	332	1081
235	332	1077
236	333	1073
237	334	1069
238	334	1065
239	335	1061
240	335	1057
241	336	1053
242	336	1049
243	337	1045
244	338	1041
245	338	1037
246	339	1034
247	339	1030
248	340	1027
249	341	1023
250	342	1020
251	342	1017
252	343	1014
253	344	1010
254	344	1007
255	345	1003
256	345	1000
257	346	997
258	347	993
259	347	990
260	348	986
261	349	983
262	349	979
263	350	976
264	350	973
265	351	969
266	351	966
267	352	962
268	353	959
269	353	956
270	354	953
271	354	950
272	355	946
273	356	943
274	356	941
275	357	938
276	358	935
277	358	932
278	359	929
279	360	926
280	360	923
281	361	920
282	362	918
283	363	915
284	363	912
285	364	909
286	364	906
287	365	903
288	366	900
289	366	897
290	367	895
291	367	892
292	368	889
293	369	886
294	369	883
295	370	880
296	370	877
297	371	874
298	371	872
299	372	869
300	373	866
301	374	864
302	374	862
303	375	859
304	375	856
305	376	854
306	377	851
307	378	849
308	378	846
309	379	844
310	379	841
311	380	838
312	381	836
313	381	833
314	382	831
315	382	828
316	383	826
317	383	823
318	384	820
319	385	818
320	385	816
321	386	813
322	387	811
323	388	809
324	388	807
325	389	805
326	389	802
327	390	800
328	391	797
329	391	795
330	392	793
331	393	790
332	393	788
333	394	785
334	394	783
335	395	780
336	395	778
337	396	776
338	397	774
339	397	772
340	398	769
341	398	767
342	399	765
343	400	763
344	400	760
345	401	758
346	402	756
347	402	754
348	403	752
349	404	750
350	404	748
351	405	746
352	406	744
353	406	742
354	407	740
355	408	738
356	408	735
357	409	733
358	409	731
359	410	729
360	411	728
361	412	726
362	412	724
363	413	723
364	414	721
365	415	719
366	415	717
367	416	715
368	417	713
369	418	712
370	419	710
371	420	709
372	420	707
373	421	705
374	422	703
375	422	701
376	424	700
377	424	699
378	425	697
379	426	695
380	426	693
381	427	691
382	428	689
383	428	687
384	429	686
385	430	684
386	430	682
387	431	680
388	431	678
389	432	676
390	433	675
391	434	673
392	434	671
393	435	669
394	436	668
395	436	666
396	437	664
397	438	662
398	438	660
399	439	659
400	439	657
401	440	655
402	441	653
403	441	651
404	442	649
405	442	647
406	443	646
407	444	644
408	444	642
409	445	640
410	445	638
411	446	637
412	447	635
413	447	634
414	448	632
415	449	630
416	449	628
417	450	627
418	451	626
419	452	624
420	453	623
421	453	621
422	454	619
423	454	617
424	455	616
425	455	614
426	456	612
427	457	611
428	458	609
429	458	608
430	459	606
431	459	604
432	460	602
433	460	601
434	461	599
435	462	597
436	462	596
437	463	594
438	464	593
439	465	591
440	465	590
441	466	588
442	467	587
443	467	585
444	468	584
445	468	582
446	469	580
447	470	579
448	470	577
449	471	576
450	472	574
451	472	573
452	473	571
453	473	569
454	474	568
455	475	566
456	475	565
457	476	563
458	477	562
459	477	561
460	478	559
461	479	558
462	479	556
463	480	555
464	481	553
465	482	552
466	482	551
467	483	549
468	484	548
469	485	547
470	485	545
471	486	544
472	487	542
473	487	541
474	488	540
475	489	538
476	489	537
477	490	535
478	491	534
479	491	532
480	492	531
481	493	530
482	493	528
483	494	527
484	495	526
485	496	525
486	497	523
487	498	522
488	498	521
489	499	519
